dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	222610_s_at	0.0428	-0.0722	S100PBP	0.0722	Down
GSE62254	205674_x_at	0.0333	0.0894	FXYD2	0.0894	Up
GSE62254	214826_at	0.0264	-0.0509	PDE12	0.0509	Down
GSE62254	215956_at	0.0314	0.0328		0.0328	Up
GSE62254	1554098_at	0.0324	0.0403	SPIN3	0.0403	Up
GSE62254	200097_s_at	0.0359	-0.0416	HNRNPK	0.0416	Down
GSE62254	240873_x_at	0.0312	0.105	LOC101926921///DAB2	0.105	Up
GSE62254	241753_at	0.0217	0.0251		0.0251	Up
GSE62254	202829_s_at	0.0409	0.0667	VAMP7	0.0667	Up
GSE62254	1553258_at	0.034	-0.0384	FLJ30679	0.0384	Down
GSE62254	232629_at	0.0375	-0.348	PROK2	0.348	Down
GSE62254	1569052_at	0.0302	0.0926	IGF2R	0.0926	Up
GSE62254	204659_s_at	0.0436	-0.0775	GFER	0.0775	Down
GSE62254	1560694_at	0.0327	-0.0367	SFT2D1	0.0367	Down
GSE62254	209210_s_at	0.0431	0.15	FERMT2	0.15	Up
GSE62254	209310_s_at	0.0432	-0.0914	CASP4	0.0914	Down
GSE62254	1557706_at	0.0236	0.0473	ZHX2	0.0473	Up
GSE62254	238616_at	0.0322	-0.0393	QDPR	0.0393	Down
GSE62254	218380_at	0.0373	0.115	LOC728392	0.115	Up
GSE62254	226234_at	0.0301	0.072	GDF11	0.072	Up
GSE62254	210538_s_at	0.0409	-0.159	BIRC3	0.159	Down
GSE62254	203730_s_at	0.04	-0.0807	ZKSCAN5	0.0807	Down
GSE62254	241698_at	0.0266	0.066	RFTN2	0.066	Up
GSE62254	233015_at	0.0297	-0.0367	MBNL1	0.0367	Down
GSE62254	223744_s_at	0.0336	-0.0449	SIAE	0.0449	Down
GSE62254	202972_s_at	0.0422	-0.108	FAM13A	0.108	Down
GSE62254	238875_at	0.0279	-0.0704		0.0704	Down
GSE62254	213206_at	0.0405	0.0686	GOSR2	0.0686	Up
GSE62254	1556398_a_at	0.0268	-0.0313		0.0313	Down
GSE62254	202616_s_at	0.0402	0.0675	MECP2	0.0675	Up
GSE62254	217544_at	0.0317	-0.095	MIR3916	0.095	Down
GSE62254	201857_at	0.0399	0.0521	ZFR	0.0521	Up
GSE62254	212752_at	0.0436	0.0509	CLASP1	0.0509	Up
GSE62254	37802_r_at	0.0294	-0.063	FAM63B	0.063	Down
GSE62254	208787_at	0.0364	-0.0555	MRPL3	0.0555	Down
GSE62254	221897_at	0.0427	-0.0775	TRIM52	0.0775	Down
GSE62254	117_at	0.0406	-0.108	HSPA6	0.108	Down
GSE62254	220741_s_at	0.0396	-0.0626	PPA2	0.0626	Down
GSE62254	230198_at	0.0347	0.106		0.106	Up
GSE62254	231912_s_at	0.0396	0.0674	TECPR1	0.0674	Up
GSE62254	201585_s_at	0.0412	-0.0482	SFPQ	0.0482	Down
GSE62254	215821_x_at	0.0379	0.0765	PSG11///PSG3	0.0765	Up
GSE62254	213848_at	0.0441	-0.0723	DUSP7	0.0723	Down
GSE62254	227825_at	0.0419	0.0651	NAIF1	0.0651	Up
GSE62254	202240_at	0.0388	-0.0632	PLK1	0.0632	Down
GSE62254	228867_at	0.0441	-0.0805	TATDN3	0.0805	Down
GSE62254	206548_at	0.0352	0.151		0.151	Up
GSE62254	236231_at	0.0295	-0.0982	ZNF271P	0.0982	Down
GSE62254	213548_s_at	0.0412	-0.14	CDV3	0.14	Down
GSE62254	214081_at	0.0403	0.112	PLXDC1	0.112	Up
GSE62254	236181_at	0.0364	0.159	LOC389831	0.159	Up
GSE62254	222369_at	0.044	-0.0668	NAA40	0.0668	Down
GSE62254	239889_at	0.0248	0.0571	SERP2	0.0571	Up
GSE62254	227252_at	0.0443	-0.0911	LRP10	0.0911	Down
GSE62254	221270_s_at	0.0441	-0.0848	QTRT1	0.0848	Down
GSE62254	202580_x_at	0.0442	-0.112	FOXM1	0.112	Down
GSE62254	1563210_at	0.0288	0.0325		0.0325	Up
GSE62254	203847_s_at	0.0443	-0.0551	AKAP8	0.0551	Down
GSE62254	226885_at	0.0356	0.152	RNF217	0.152	Up
GSE62254	213012_at	0.0429	0.118	NEDD4	0.118	Up
GSE62254	226496_at	0.043	-0.0965	ZCCHC7	0.0965	Down
GSE62254	219064_at	0.0406	0.123	ITIH5	0.123	Up
GSE62254	1558103_a_at	0.0335	0.141	HDGFRP3	0.141	Up
GSE62254	1553229_at	0.032	0.122	ZNF572	0.122	Up
GSE62254	213558_at	0.0337	0.19	PCLO	0.19	Up
GSE62254	218478_s_at	0.0429	-0.0528	ZCCHC8	0.0528	Down
GSE62254	242207_at	0.0296	-0.0399	LOC100128361///CENPP	0.0399	Down
GSE62254	206722_s_at	0.0396	-0.053	LPAR2	0.053	Down
GSE62254	206659_at	0.0376	0.136		0.136	Up
GSE62254	218069_at	0.0414	-0.0719	DCTPP1	0.0719	Down
GSE62254	204464_s_at	0.0445	0.149	EDNRA	0.149	Up
GSE62254	223526_at	0.0442	-0.0709	C18orf21	0.0709	Down
GSE62254	208811_s_at	0.0433	-0.0901	TMEM135///DNAJB6	0.0901	Down
GSE62254	241951_at	0.0233	0.0261	SLCO1C1	0.0261	Up
GSE62254	209629_s_at	0.0414	-0.144	NXT2	0.144	Down
GSE62254	227887_at	0.038	-0.0637	FOXN3-AS1	0.0637	Down
GSE62254	1552256_a_at	0.0443	0.106	SCARB1	0.106	Up
GSE62254	239151_at	0.0401	0.083	BMS1P5	0.083	Up
GSE62254	225245_x_at	0.0421	0.105	H2AFJ	0.105	Up
GSE62254	225904_at	0.0444	-0.0784	CCSAP	0.0784	Down
GSE62254	201799_s_at	0.0445	-0.0614	OSBP	0.0614	Down
GSE62254	227387_at	0.0288	-0.0382	NSMCE4A	0.0382	Down
GSE62254	232028_at	0.0404	0.109	ZNF678	0.109	Up
GSE62254	225274_at	0.0423	0.0815	PCYOX1	0.0815	Up
GSE62254	215145_s_at	0.0339	0.165	CNTNAP2	0.165	Up
GSE62254	204905_s_at	0.0431	-0.0792	EEF1E1	0.0792	Down
GSE62254	201015_s_at	0.0432	0.168	JUP	0.168	Up
GSE62254	235705_at	0.038	0.0985		0.0985	Up
GSE62254	225794_s_at	0.0423	0.0584	SMDT1	0.0584	Up
GSE62254	240345_x_at	0.0298	-0.0381		0.0381	Down
GSE62254	201815_s_at	0.0424	-0.0499	TBC1D5	0.0499	Down
GSE62254	210644_s_at	0.0441	-0.108	LAIR1	0.108	Down
GSE62254	226272_at	0.0441	0.1	RCAN3	0.1	Up
GSE62254	219924_s_at	0.0442	-0.0775	ZMYM6	0.0775	Down
GSE62254	221851_at	0.0291	-0.0346	DCAF15	0.0346	Down
GSE62254	212738_at	0.0448	-0.0657	ARHGAP19	0.0657	Down
GSE62254	210821_x_at	0.0447	-0.0889	CENPA	0.0889	Down
GSE62254	244352_at	0.0386	-0.0929	CD84	0.0929	Down
GSE62254	231365_at	0.0338	-0.111	HOXA10-AS///MIR196B	0.111	Down
GSE62254	226254_s_at	0.0423	-0.0786	CFAP97	0.0786	Down
GSE62254	203564_at	0.0448	-0.101	FANCG	0.101	Down
GSE62254	218622_at	0.0418	-0.0707	NUP37	0.0707	Down
GSE62254	228837_at	0.0426	0.105	TCF4	0.105	Up
GSE62254	232615_at	0.0448	0.149		0.149	Up
GSE62254	229688_at	0.0291	0.0452	PRDM11	0.0452	Up
GSE62254	206418_at	0.0289	0.313	NOX1	0.313	Up
GSE62254	1554365_a_at	0.044	-0.0766	PPP2R5C	0.0766	Down
GSE62254	212898_at	0.0448	0.0915	TTI1	0.0915	Up
GSE62254	1554472_a_at	0.0402	-0.133	PHF20L1	0.133	Down
GSE62254	241068_at	0.0402	-0.128	IGSF6	0.128	Down
GSE62254	227340_s_at	0.0415	-0.166	RGMB	0.166	Down
GSE62254	223682_s_at	0.0435	-0.0572	EIF1AD	0.0572	Down
GSE62254	205017_s_at	0.0304	-0.05	MBNL2	0.05	Down
GSE62254	226456_at	0.0445	-0.103	RMI2	0.103	Down
GSE62254	244745_at	0.0289	0.166	RERG	0.166	Up
GSE62254	1570279_at	0.0288	-0.0346	ABCA1	0.0346	Down
GSE62254	220710_at	0.022	0.0374	ANP32A-IT1	0.0374	Up
GSE62254	1553528_a_at	0.0448	-0.087	TAF5	0.087	Down
GSE62254	218774_at	0.0449	-0.074	DCPS	0.074	Down
GSE62254	239023_at	0.0278	-0.0336	CDC42SE1	0.0336	Down
GSE62254	1554789_a_at	0.0236	0.0645	PDE8B	0.0645	Up
GSE62254	208145_at	0.0368	-0.0303		0.0303	Down
GSE62254	234640_x_at	0.0347	0.176		0.176	Up
GSE62254	216624_s_at	0.0296	-0.0364	KMT2A	0.0364	Down
GSE62254	229127_at	0.0344	0.15	JAM2	0.15	Up
GSE62254	202263_at	0.0451	0.0755	CYB5R1	0.0755	Up
GSE62254	236001_at	0.0452	0.247	LINC00675	0.247	Up
GSE62254	216996_s_at	0.0444	-0.067	FASTKD2	0.067	Down
GSE62254	211366_x_at	0.0437	-0.176	CASP1	0.176	Down
GSE62254	205136_s_at	0.044	0.0989	NUFIP1	0.0989	Up
GSE62254	214272_at	0.0361	-0.0327	CYLD	0.0327	Down
GSE62254	242579_at	0.0286	0.0956	BMPR1B	0.0956	Up
GSE62254	1553987_at	0.0451	-0.0682	MAPKAPK5-AS1	0.0682	Down
GSE62254	202948_at	0.0448	0.132	IL1R1	0.132	Up
GSE62254	219547_at	0.0451	-0.0704	COX15	0.0704	Down
GSE62254	205608_s_at	0.0354	0.1	ANGPT1	0.1	Up
GSE62254	205773_at	0.0405	-0.104	CPEB3	0.104	Down
GSE62254	224901_at	0.0433	0.193	SCD5	0.193	Up
GSE62254	229523_at	0.0314	0.0887	TMEM200C	0.0887	Up
GSE62254	202202_s_at	0.0451	0.128	LAMA4	0.128	Up
GSE62254	218430_s_at	0.038	-0.116	RFX7	0.116	Down
GSE62254	217147_s_at	0.0329	-0.162	TRAT1	0.162	Down
GSE62254	213945_s_at	0.0368	0.0607	NUP210	0.0607	Up
GSE62254	229723_at	0.0455	-0.22	TAGAP	0.22	Down
GSE62254	203978_at	0.0455	-0.0598	NUBP1	0.0598	Down
GSE62254	240457_at	0.0275	0.0433		0.0433	Up
GSE62254	223356_s_at	0.0441	0.0659	MTIF3	0.0659	Up
GSE62254	203022_at	0.0448	-0.0843	RNASEH2A	0.0843	Down
GSE62254	204320_at	0.044	-0.328	COL11A1	0.328	Down
GSE62254	205053_at	0.0454	-0.0998	PRIM1	0.0998	Down
GSE62254	227798_at	0.0441	-0.0651	SMAD1	0.0651	Down
GSE62254	236648_at	0.0411	-0.0828	GMPS	0.0828	Down
GSE62254	215600_x_at	0.0457	0.0721	FBXW12	0.0721	Up
GSE62254	215358_x_at	0.0318	0.101	ZNF37BP	0.101	Up
GSE62254	219317_at	0.0451	-0.118	POLI	0.118	Down
GSE62254	203294_s_at	0.034	-0.0982	LMAN1	0.0982	Down
GSE62254	225743_at	0.0456	-0.0787	RPUSD3	0.0787	Down
GSE62254	223466_x_at	0.0455	-0.0568	COL4A3BP	0.0568	Down
GSE62254	213247_at	0.0422	0.105	SVEP1	0.105	Up
GSE62254	222025_s_at	0.0458	-0.121	OPLAH	0.121	Down
GSE62254	222779_s_at	0.0448	-0.0509	NCBP3	0.0509	Down
GSE62254	217651_at	0.0289	-0.0917		0.0917	Down
GSE62254	219477_s_at	0.0447	0.101	LOC101930578///MRPS31P5///THSD1	0.101	Up
GSE62254	44673_at	0.0429	-0.071	SIGLEC1	0.071	Down
GSE62254	212144_at	0.046	0.0445	SUN2	0.0445	Up
GSE62254	219311_at	0.0459	-0.0874	CEP76	0.0874	Down
GSE62254	1555978_s_at	0.0286	-0.0867	MYL12A	0.0867	Down
GSE62254	206558_at	0.0456	-0.132	SIM2	0.132	Down
GSE62254	224689_at	0.0448	0.0566	MANBAL	0.0566	Up
GSE62254	223896_at	0.0293	-0.0313	FKSG29	0.0313	Down
GSE62254	216623_x_at	0.0448	0.221	TOX3	0.221	Up
GSE62254	213293_s_at	0.0442	-0.166	TRIM22	0.166	Down
GSE62254	209699_x_at	0.0447	0.276	LOC101930400///AKR1C2	0.276	Up
GSE62254	217821_s_at	0.0461	-0.0817	WBP11	0.0817	Down
GSE62254	203585_at	0.0461	-0.161	ZNF185	0.161	Down
GSE62254	225540_at	0.0387	0.161	MAP2	0.161	Up
GSE62254	1553954_at	0.0454	0.0674	ALG14	0.0674	Up
GSE62254	219103_at	0.0375	0.0694	ASAP3	0.0694	Up
GSE62254	238903_at	0.0455	-0.0921	UBXN2B	0.0921	Down
GSE62254	1560327_at	0.0457	0.0529		0.0529	Up
GSE62254	220985_s_at	0.046	-0.105	RNF170	0.105	Down
GSE62254	226335_at	0.0451	0.0823	RPS6KA3	0.0823	Up
GSE62254	201511_at	0.0447	-0.0524	AAMP	0.0524	Down
GSE62254	218360_at	0.0447	0.0701	RAB22A	0.0701	Up
GSE62254	216873_s_at	0.0434	0.0427	ATP8B2	0.0427	Up
GSE62254	219276_x_at	0.0436	-0.0928	CAAP1	0.0928	Down
GSE62254	232404_at	0.0324	0.0497	SHROOM4	0.0497	Up
GSE62254	219910_at	0.0432	0.0546	FICD	0.0546	Up
GSE62254	1553286_at	0.0441	-0.0631	ZNF555	0.0631	Down
GSE62254	209542_x_at	0.0416	0.0737	IGF1	0.0737	Up
GSE62254	227905_s_at	0.038	-0.0976	AZI2	0.0976	Down
GSE62254	225996_at	0.0275	0.177	LONRF2	0.177	Up
GSE62254	226598_s_at	0.0457	0.0421	MTG2	0.0421	Up
GSE62254	222111_at	0.0463	-0.102	FAM63B	0.102	Down
GSE62254	225457_s_at	0.0464	0.249	OLMALINC///PP7080	0.249	Up
GSE62254	208422_at	0.0314	-0.07	MSR1	0.07	Down
GSE62254	226423_at	0.0457	0.15	PAQR8	0.15	Up
GSE62254	200840_at	0.0365	-0.048	KARS	0.048	Down
GSE62254	214328_s_at	0.0329	-0.0333	HSP90AA1	0.0333	Down
GSE62254	212719_at	0.0415	-0.111	PHLPP1	0.111	Down
GSE62254	204355_at	0.0466	-0.0578	DHX30	0.0578	Down
GSE62254	216111_x_at	0.0432	-0.0517	PMS2P3	0.0517	Down
GSE62254	241869_at	0.0386	-0.0949	APOL6	0.0949	Down
GSE62254	226349_at	0.0467	-0.0692	C12orf45	0.0692	Down
GSE62254	244767_at	0.0263	-0.041	FRA10AC1	0.041	Down
GSE62254	205523_at	0.0306	0.167	HAPLN1	0.167	Up
GSE62254	217199_s_at	0.0407	-0.0289	STAT2	0.0289	Down
GSE62254	213668_s_at	0.0467	0.0993	SOX4	0.0993	Up
GSE62254	241936_x_at	0.0303	0.094		0.094	Up
GSE62254	203989_x_at	0.0465	0.111	F2R	0.111	Up
GSE62254	209983_s_at	0.0304	0.035	NRXN2	0.035	Up
GSE62254	223288_at	0.0454	-0.0767	USP38	0.0767	Down
GSE62254	239702_x_at	0.0382	-0.055		0.055	Down
GSE62254	214002_at	0.0389	0.0476	MYL6	0.0476	Up
GSE62254	241912_at	0.0326	-0.124	ZNF814	0.124	Down
GSE62254	1556316_s_at	0.0404	-0.0559	MIF-AS1	0.0559	Down
GSE62254	222517_at	0.0469	-0.0797	AP3M1	0.0797	Down
GSE62254	213418_at	0.0469	-0.148	HSPA6	0.148	Down
GSE62254	206840_at	0.0245	-0.0352	AFM	0.0352	Down
GSE62254	214997_at	0.0296	0.0536	SCAI	0.0536	Up
GSE62254	220906_at	0.0275	0.0318		0.0318	Up
GSE62254	223277_at	0.0468	-0.0503	ELP6	0.0503	Down
GSE62254	221529_s_at	0.0448	0.098	PLVAP	0.098	Up
GSE62254	1566671_a_at	0.0395	-0.0722	PDXK	0.0722	Down
GSE62254	235692_at	0.0469	-0.0963	SH3KBP1	0.0963	Down
GSE62254	1552481_s_at	0.0322	-0.0829	MAN1A2	0.0829	Down
GSE62254	238593_at	0.0289	0.126	C11orf80	0.126	Up
GSE62254	202086_at	0.0451	-0.176	MX1	0.176	Down
GSE62254	228628_at	0.0467	0.101	SRGAP2C	0.101	Up
GSE62254	1566966_at	0.0257	-0.0462		0.0462	Down
GSE62254	209555_s_at	0.0413	0.177	CD36	0.177	Up
GSE62254	224332_s_at	0.0463	-0.0645	MRPL43	0.0645	Down
GSE62254	227497_at	0.0364	0.116	SOX6	0.116	Up
GSE62254	1565783_at	0.031	-0.0279		0.0279	Down
GSE62254	222559_s_at	0.0469	-0.117	RPRD1A	0.117	Down
GSE62254	200659_s_at	0.0465	-0.0727	PHB	0.0727	Down
GSE62254	236066_at	0.0416	-0.0528		0.0528	Down
GSE62254	238673_at	0.04	0.13	SAMD12	0.13	Up
GSE62254	211314_at	0.0342	-0.0335	CACNA1G	0.0335	Down
GSE62254	1555689_at	0.0232	-0.0391	CD80	0.0391	Down
GSE62254	223259_at	0.0468	0.0964	ORMDL3	0.0964	Up
GSE62254	1553254_at	0.0246	-0.0253	MAGEE2	0.0253	Down
GSE62254	210792_x_at	0.0457	-0.0598	SIVA1	0.0598	Down
GSE62254	218675_at	0.0437	0.0549	SLC22A17	0.0549	Up
GSE62254	231451_s_at	0.0314	-0.0444		0.0444	Down
GSE62254	225581_s_at	0.0452	-0.0766	MRPL50	0.0766	Down
GSE62254	202268_s_at	0.0424	-0.0648	NAE1	0.0648	Down
GSE62254	234941_s_at	0.0392	-0.0523	GPHN	0.0523	Down
GSE62254	237009_at	0.028	-0.0948		0.0948	Down
GSE62254	1558620_at	0.0473	-0.0709	ZNF621	0.0709	Down
GSE62254	1556912_at	0.0221	0.023	GIT2	0.023	Up
GSE62254	231069_at	0.0458	-0.122		0.122	Down
GSE62254	233339_s_at	0.0343	-0.0384	ARID1B	0.0384	Down
GSE62254	1552938_at	0.029	-0.0461	ZIC5	0.0461	Down
GSE62254	202447_at	0.0432	-0.0874	DECR1	0.0874	Down
GSE62254	233666_at	0.0297	-0.0491	TMEM106B	0.0491	Down
GSE62254	223026_s_at	0.0416	-0.0478	VPS29	0.0478	Down
GSE62254	225947_at	0.0471	-0.0673	MYO19	0.0673	Down
GSE62254	223430_at	0.0473	0.0546	SIK2	0.0546	Up
GSE62254	208352_x_at	0.0368	-0.0674	ANK1	0.0674	Down
GSE62254	208483_x_at	0.0318	-0.0324	KRT33A	0.0324	Down
GSE62254	210023_s_at	0.0369	-0.0539	PCGF1	0.0539	Down
GSE62254	204252_at	0.0467	-0.0743	CDK2	0.0743	Down
GSE62254	221848_at	0.0473	0.0778	ZGPAT	0.0778	Up
GSE62254	224184_s_at	0.0443	0.0537	BOC	0.0537	Up
GSE62254	239794_at	0.0334	0.104		0.104	Up
GSE62254	221632_s_at	0.0395	-0.0507	WDR4	0.0507	Down
GSE62254	233004_x_at	0.0351	0.0793		0.0793	Up
GSE62254	244254_at	0.0324	-0.0475		0.0475	Down
GSE62254	235638_at	0.0471	-0.185	RASSF6	0.185	Down
GSE62254	235649_at	0.0391	0.0841	ADAMTS8	0.0841	Up
GSE62254	229128_s_at	0.0474	0.122	ANP32E	0.122	Up
GSE62254	224939_at	0.0467	0.0676	NUFIP2	0.0676	Up
GSE62254	236370_at	0.0393	0.12		0.12	Up
GSE62254	229895_s_at	0.0325	-0.0456		0.0456	Down
GSE62254	1552334_at	0.0398	-0.0705	TRIOBP	0.0705	Down
GSE62254	222694_at	0.0433	-0.0424	CENPBD1P1	0.0424	Down
GSE62254	239934_x_at	0.0359	-0.19		0.19	Down
GSE62254	216910_at	0.035	0.106	XPNPEP2	0.106	Up
GSE62254	204144_s_at	0.0376	-0.0483	PIGQ	0.0483	Down
GSE62254	225093_at	0.0472	0.115	UTRN	0.115	Up
GSE62254	205186_at	0.044	0.149	DNALI1	0.149	Up
GSE62254	1568618_a_at	0.0443	-0.0863	GALNT1	0.0863	Down
GSE62254	242041_at	0.0301	0.0572	CSPP1	0.0572	Up
GSE62254	228497_at	0.0443	0.136	SLC22A15	0.136	Up
GSE62254	214948_s_at	0.0458	-0.085	TMF1	0.085	Down
GSE62254	200947_s_at	0.0426	-0.0533	GLUD1	0.0533	Down
GSE62254	204277_s_at	0.0414	-0.0646	TK2	0.0646	Down
GSE62254	203282_at	0.0466	-0.0887	GBE1	0.0887	Down
GSE62254	227563_at	0.0457	-0.102	FAM27E2///FAM27E3	0.102	Down
GSE62254	224064_s_at	0.0463	-0.0561	DHDDS	0.0561	Down
GSE62254	215108_x_at	0.0466	0.215	TOX3	0.215	Up
GSE62254	61874_at	0.0474	0.051	CACFD1	0.051	Up
GSE62254	212004_at	0.0478	-0.0342	SZRD1	0.0342	Down
GSE62254	240830_at	0.043	-0.132	SCARNA17	0.132	Down
GSE62254	213223_at	0.0479	-0.101	MIR6805///RPL28	0.101	Down
GSE62254	1558693_s_at	0.0479	0.0873	GLMP	0.0873	Up
GSE62254	221726_at	0.0422	0.0739	RPL22	0.0739	Up
GSE62254	210104_at	0.0477	-0.0659	MED6	0.0659	Down
GSE62254	242442_x_at	0.0452	-0.0831	TRMT10A	0.0831	Down
GSE62254	212973_at	0.046	0.0878	RPIA	0.0878	Up
GSE62254	214875_x_at	0.0468	0.0885	APLP2	0.0885	Up
GSE62254	1569746_s_at	0.0288	0.0425	OSER1-AS1	0.0425	Up
GSE62254	201896_s_at	0.0478	-0.11	PSRC1	0.11	Down
GSE62254	235755_at	0.0379	-0.0325	TNRC18	0.0325	Down
GSE62254	1554258_a_at	0.0366	-0.0748	DNAJC5B	0.0748	Down
GSE62254	233056_x_at	0.048	0.0555	DLGAP4	0.0555	Up
GSE62254	237914_s_at	0.03	-0.0445		0.0445	Down
GSE62254	228173_at	0.0438	0.115	GNAS	0.115	Up
GSE62254	218125_s_at	0.0479	-0.0863	CCDC25	0.0863	Down
GSE62254	1563919_a_at	0.0443	-0.0402	CEP89	0.0402	Down
GSE62254	223116_at	0.048	-0.0481	BCAR1	0.0481	Down
GSE62254	225366_at	0.048	-0.0648	PGM2	0.0648	Down
GSE62254	207833_s_at	0.0381	-0.0704	HLCS	0.0704	Down
GSE62254	1562381_at	0.0223	-0.0289	HLA-F-AS1	0.0289	Down
GSE62254	1554237_at	0.0368	-0.103	SDCCAG8	0.103	Down
GSE62254	1553150_at	0.0239	-0.0351	KDM1B	0.0351	Down
GSE62254	219564_at	0.0293	0.237	KCNJ16	0.237	Up
GSE62254	237054_at	0.03	0.19	ENPP5	0.19	Up
GSE62254	230136_at	0.045	0.109		0.109	Up
GSE62254	228600_x_at	0.0471	-0.123	FAM221A	0.123	Down
GSE62254	238018_at	0.0284	0.105	FAM150B	0.105	Up
GSE62254	1554473_at	0.0277	0.0831	SRGAP1	0.0831	Up
GSE62254	207301_at	0.032	-0.0341	EFNA5	0.0341	Down
GSE62254	217490_at	0.0412	-0.0567		0.0567	Down
GSE62254	206905_s_at	0.0402	-0.0368	MATN1	0.0368	Down
GSE62254	200952_s_at	0.0376	-0.19	CCND2	0.19	Down
GSE62254	234726_s_at	0.0484	-0.102	TMEM168	0.102	Down
GSE62254	211071_s_at	0.0474	0.147	MLLT11	0.147	Up
GSE62254	215165_x_at	0.0467	-0.0633	UMPS	0.0633	Down
GSE62254	223712_at	0.0473	-0.0886	PCBD2	0.0886	Down
GSE62254	244802_at	0.0293	0.132		0.132	Up
GSE62254	205675_at	0.0361	0.337	MTTP	0.337	Up
GSE62254	230766_at	0.0355	-0.137	GART	0.137	Down
GSE62254	217400_at	0.0243	-0.0359		0.0359	Down
GSE62254	212584_at	0.0476	-0.052	AQR	0.052	Down
GSE62254	217356_s_at	0.0416	-0.107	PGK1	0.107	Down
GSE62254	220482_s_at	0.0434	-0.0674	SERGEF	0.0674	Down
GSE62254	204007_at	0.0468	-0.204	FCGR3B	0.204	Down
GSE62254	232014_at	0.0464	-0.0965	ZNF30	0.0965	Down
GSE62254	202836_s_at	0.0435	-0.0634	TXNL4A	0.0634	Down
GSE62254	230098_at	0.0487	0.081	PHF20L1	0.081	Up
GSE62254	210910_s_at	0.0444	-0.107	POMZP3	0.107	Down
GSE62254	235442_at	0.0414	-0.0806	CXorf56	0.0806	Down
GSE62254	1559034_at	0.026	-0.0462	SIRPB2	0.0462	Down
GSE62254	1554909_at	0.0318	-0.0296	CCDC36	0.0296	Down
GSE62254	1570064_at	0.0298	0.0475	LOC100419741	0.0475	Up
GSE62254	226283_at	0.048	-0.1	POC1B	0.1	Down
GSE62254	236417_at	0.032	0.079		0.079	Up
GSE62254	231779_at	0.0481	-0.136	IRAK2	0.136	Down
GSE62254	232235_at	0.0312	0.148	DSEL	0.148	Up
GSE62254	207549_x_at	0.0487	-0.119	CD46	0.119	Down
GSE62254	242859_at	0.0334	0.0988		0.0988	Up
GSE62254	1552836_at	0.0418	-0.0455	ZNF619	0.0455	Down
GSE62254	219689_at	0.0351	0.0951	SEMA3G	0.0951	Up
GSE62254	228131_at	0.047	-0.102	ERCC1	0.102	Down
GSE62254	223931_s_at	0.0485	0.0885	CHFR	0.0885	Up
GSE62254	210397_at	0.0469	0.258	DEFB1	0.258	Up
GSE62254	242377_x_at	0.0429	0.0474	THUMPD3	0.0474	Up
GSE62254	224602_at	0.0449	-0.0766	C4orf3	0.0766	Down
GSE62254	244722_at	0.0322	-0.0556		0.0556	Down
GSE62254	214763_at	0.0486	0.0964	ACOT11	0.0964	Up
GSE62254	51200_at	0.0484	-0.0656	C19orf60	0.0656	Down
GSE62254	209655_s_at	0.0473	0.146	TMEM47	0.146	Up
GSE62254	209110_s_at	0.049	0.0944	RGL2	0.0944	Up
GSE62254	214642_x_at	0.035	0.314	MAGEA10-MAGEA5///MAGEA5	0.314	Up
GSE62254	210613_s_at	0.0471	0.13	SYNGR1	0.13	Up
GSE62254	230921_s_at	0.0438	0.0755	MAP3K12	0.0755	Up
GSE62254	207415_at	0.0275	0.0657	PLA2R1	0.0657	Up
GSE62254	235614_at	0.0397	-0.0546	TMEM151A	0.0546	Down
GSE62254	1555961_a_at	0.0385	-0.0492	HINT1	0.0492	Down
GSE62254	231894_at	0.0486	-0.111	SARS	0.111	Down
GSE62254	236561_at	0.0423	0.143	TGFBR1	0.143	Up
GSE62254	206152_at	0.0448	-0.0382	AGAP2	0.0382	Down
GSE62254	211907_s_at	0.0288	-0.0564	PARD6B	0.0564	Down
GSE62254	1559347_at	0.0276	0.0355		0.0355	Up
GSE62254	235690_at	0.0332	0.105	ZNF594	0.105	Up
GSE62254	202665_s_at	0.0467	-0.101	WIPF1	0.101	Down
GSE62254	213582_at	0.0422	0.102	ATP11A	0.102	Up
GSE62254	210210_at	0.0415	0.064	MPZL1	0.064	Up
GSE62254	1564202_at	0.0258	-0.0315	LOC100131756	0.0315	Down
GSE62254	203766_s_at	0.0444	0.131	LMOD1	0.131	Up
GSE62254	229073_at	0.0293	0.0929	PRTG	0.0929	Up
GSE62254	1569582_at	0.0386	0.206	AADACP1	0.206	Up
GSE62254	209375_at	0.049	-0.0519	XPC	0.0519	Down
GSE62254	236168_at	0.0451	0.0944		0.0944	Up
GSE62254	218222_x_at	0.0435	-0.0447	ARNT	0.0447	Down
GSE62254	218566_s_at	0.0467	-0.0787	CHORDC1	0.0787	Down
GSE62254	1559063_at	0.0264	0.0374		0.0374	Up
GSE62254	224653_at	0.0483	0.0787	EIF4EBP2	0.0787	Up
GSE62254	1569436_at	0.0302	0.0718	TUSC8	0.0718	Up
GSE62254	216326_s_at	0.0491	-0.0455	HDAC3	0.0455	Down
GSE62254	208451_s_at	0.0492	0.145	C4B_2///C4B///C4A	0.145	Up
GSE62254	224823_at	0.0467	0.157	MYLK	0.157	Up
GSE62254	226042_at	0.049	0.0551	EDC3	0.0551	Up
GSE62254	202898_at	0.0489	-0.083	SDC3	0.083	Down
